Memory,Storage,Camera,Rating,Selling Price,Original Price,Discount,discount percentage
8 GB,128 GB,Yes,4.3,19330,20999,1669,7.947997523691604
2 GB,16 GB,Yes,3.8,10199,10199,0,0.0
2 GB,,Yes,4.4,6999,7999,1000,12.50156269533692
4 GB,64 GB,Yes,4.2,12999,12999,0,0.0
4GB,64 GB,Yes,4.6,49900,49900,0,0.0
8 MB,16 MB,Yes,4.0,2199,2199,0,0.0
6 GB,512 GB,Yes,,99900,99900,0,0.0
3 GB,64 GB,Yes,4.6,42999,47900,4901,10.231732776617951
1.5 GB,16 GB,Yes,4.2,20400,20400,0,0.0
8 GB,128 GB,Yes,4.3,21736,22999,1263,5.491543110570025
4 GB,64 GB,Yes,4.2,11989,11989,0,0.0
4GB,256 GB,Yes,4.6,64900,64900,0,0.0
6 GB,128 GB,Yes,4.3,19999,21999,2000,9.091322332833313
3 GB,32 GB,Yes,4.3,10490,12990,2500,19.24557351809084
8 GB,128 GB,Yes,4.4,29990,34990,5000,14.289797084881394
,64 GB,Yes,3.8,39990,46990,7000,14.896786550329857
6 GB,512 GB,Yes,,99900,99900,0,0.0
1 GB,16 GB,Yes,4.2,6999,6999,0,0.0
4 GB,64 GB,Yes,4.1,13999,13999,0,0.0
2 GB,32 GB,Yes,4.1,7699,7699,0,0.0
4 GB,64 GB,Yes,3.9,9999,9999,0,0.0
3 GB,,Yes,,11990,12990,1000,7.698229407236336
1 GB,8 GB,Yes,3.5,3499,3499,0,0.0
6 GB,128 GB,Yes,4.4,24999,26999,2000,7.407681765991334
3 GB,,Yes,4.3,8999,9999,1000,10.00100010001
6 GB,,Yes,4.3,17999,19999,2000,10.000500025001251
2 GB,16 GB,Yes,4.1,6990,6990,0,0.0
2 GB,16 GB,Yes,4.0,7999,7999,0,0.0
6 GB,64 GB,Yes,4.5,70000,70000,0,0.0
4 GB,128 GB,Yes,4.3,18199,18199,0,0.0
4 GB,64 GB,Yes,4.5,14990,14990,0,0.0
2 GB,32 GB,Yes,4.0,7999,10499,2500,23.811791599199925
8 GB,512 GB,Yes,4.6,49999,49999,0,0.0
3 GB,32 GB,Yes,4.3,8999,8999,0,0.0
4GB,64 GB,Yes,4.6,49900,49900,0,0.0
1.5 GB,8 GB,Yes,4.0,6990,6990,0,0.0
2 MB,2 MB,Yes,4.1,2399,2399,0,0.0
1 GB,8 GB,Yes,3.8,35490,35490,0,0.0
8 GB,,Yes,4.3,29999,31999,2000,6.250195318603706
8 GB,256 GB,Yes,4.4,28999,31999,3000,9.37529297790556
4 GB,128 GB,Yes,4.5,11999,12999,1000,7.692899453804139
2 GB,16 GB,Yes,4.3,10999,10999,0,0.0
4 GB,64 GB,Yes,4.5,69999,69999,0,0.0
2 GB,16 GB,Yes,4.0,6999,6999,0,0.0
8 GB,128 GB,Yes,4.2,22450,22450,0,0.0
3 GB,64 GB,Yes,4.1,11999,11999,0,0.0
8 GB,128 GB,Yes,4.4,31999,34999,3000,8.57167347638504
4 GB,32 GB,Yes,4.3,22900,22900,0,0.0
2 GB,32 GB,Yes,4.3,7499,8999,1500,16.6685187243027
4GB,256 GB,Yes,4.6,64900,64900,0,0.0
4 GB,64 GB,Yes,4.5,13999,15999,2000,12.500781298831177
3 GB,128 GB,Yes,4.5,42900,42900,0,0.0
